"month_diagnosed","variable","count"
6,"age_0_17_yr",0
6,"age_18_24_yr",2
6,"age_25_34_yr",55
6,"age_35_44_yr",59
6,"age_45_54_yr",17
6,"age_55_64_yr",1
6,"age_65_74_yr",0
6,"age_75_84_yr",0
6,"age_85_plus_yr",0
6,"age_unk",0
6,"boro_bronx",9
6,"boro_brook",19
6,"boro_manhattan",91
6,"boro_queens",15
6,"boro_statenisland",0
6,"boro_unk",0
6,"re_asian",10
6,"re_black",14
6,"re_hispanic",42
6,"re_missing",6
6,"re_oth",0
6,"re_white",62
7,"age_0_17_yr",0
7,"age_18_24_yr",84
7,"age_25_34_yr",692
7,"age_35_44_yr",590
7,"age_45_54_yr",200
7,"age_55_64_yr",68
7,"age_65_74_yr",5
7,"age_75_84_yr",1
7,"age_85_plus_yr",0
7,"age_unk",0
7,"boro_bronx",257
7,"boro_brook",410
7,"boro_manhattan",745
7,"boro_queens",218
7,"boro_statenisland",10
7,"boro_unk",0
7,"re_asian",58
7,"re_black",437
7,"re_hispanic",508
7,"re_missing",162
7,"re_oth",20
7,"re_white",455
8,"age_0_17_yr",2
8,"age_18_24_yr",107
8,"age_25_34_yr",583
8,"age_35_44_yr",470
8,"age_45_54_yr",216
8,"age_55_64_yr",77
8,"age_65_74_yr",8
8,"age_75_84_yr",0
8,"age_85_plus_yr",0
8,"age_unk",0
8,"boro_bronx",327
8,"boro_brook",334
8,"boro_manhattan",515
8,"boro_queens",265
8,"boro_statenisland",19
8,"boro_unk",3
8,"re_asian",46
8,"re_black",416
8,"re_hispanic",541
8,"re_missing",168
8,"re_oth",33
8,"re_white",259
9,"age_0_17_yr",3
9,"age_18_24_yr",41
9,"age_25_34_yr",149
9,"age_35_44_yr",113
9,"age_45_54_yr",55
9,"age_55_64_yr",17
9,"age_65_74_yr",5
9,"age_75_84_yr",0
9,"age_85_plus_yr",0
9,"age_unk",0
9,"boro_bronx",106
9,"boro_brook",94
9,"boro_manhattan",95
9,"boro_queens",76
9,"boro_statenisland",12
9,"boro_unk",0
9,"re_asian",14
9,"re_black",108
9,"re_hispanic",159
9,"re_missing",34
9,"re_oth",10
9,"re_white",58
10,"age_0_17_yr",0
10,"age_18_24_yr",18
10,"age_25_34_yr",54
10,"age_35_44_yr",33
10,"age_45_54_yr",20
10,"age_55_64_yr",3
10,"age_65_74_yr",1
10,"age_75_84_yr",0
10,"age_85_plus_yr",0
10,"age_unk",0
10,"boro_bronx",32
10,"boro_brook",32
10,"boro_manhattan",37
10,"boro_queens",23
10,"boro_statenisland",5
10,"boro_unk",0
10,"re_asian",3
10,"re_black",43
10,"re_hispanic",47
10,"re_missing",19
10,"re_oth",1
10,"re_white",16

